Data Type,Content,Content_Length,Word_Count,Contains_URL,Contains_Arrow,Language
Page Title,Welcome to PassItOn.com The Foundation for a Better Life,56,9,True,False,Unknown
Link,Pass It On The Foundation for a Better Life -> ,47,10,False,True,Unknown
Link,QUOTES -> inspirational-quotes,30,3,False,True,Unknown
Link,VIDEOS -> inspirational-stories-tv-spots,40,3,False,True,Unknown
Link,Official Pass It On Videos -> inspirational-stories-tv-spots,60,7,False,True,Unknown
Link,ArtCenter College of Design PSAs -> artcenter-psas,50,7,False,True,Unknown
Link,BILLBOARDS -> inspirational-sayings-billboards,46,3,False,True,Unknown
Link,STORIES -> positive-good-news-stories,37,3,False,True,Unknown
Link,Positive Good News Stories -> positive-good-news-stories,56,6,False,True,Unknown
Link,PassItOn Stories eBook -> free-ebookdownload,44,5,False,True,Unknown
Link,PODCAST -> inspirational-audio-stories,38,3,False,True,Unknown
Link,RADIO -> radio,14,3,False,True,Unknown
Link,BLOG -> passiton-blog,21,3,False,True,Unknown
Link,SCHOOLS -> poster-requestsnew,29,3,False,True,Unknown
Link,FREE Posters -> poster-requestsnew,34,4,False,True,Unknown
Paragraph 1,Get a daily inspirational quote in your inbox each weekday! Enter your email below to subscribe.,96,16,False,False,Unknown
Paragraph 2,"If you see someone without a smile, give them one of yours.",59,12,False,False,Unknown
Paragraph 3,Dolly Parton,12,2,False,False,Unknown
Paragraph 4,"Sometimes your joy is the source of your smile, and sometimes your smile is the source of your joy.",99,19,False,False,Unknown
Paragraph 5,Thich Nhat Hanh,15,3,False,False,Unknown
